Field_ID  N   Frt date
LYS000001 090 KAS 21032011
LYS000001 095 GR1 23082011
LYS000001 020 KAS 13032012
LYS000001 070 KAS 29032012
LYS000001 030 KAS 01062012
LYS000001 020 KAS 12042013
LYS000001 070 KAS 13052013
LYS000001 030 KAS 24052013
LYS000001 099 GR2 23082013
LYS000001 020 KAS 16032015
LYS000001 098 GR3 17032015
LYS000001 040 KAS 17042015
LYS000001 040 KAS 28022016
LYS000001 074 GR4 29022016
LYS000001 080 KAS 05042016
LYS000001 030 KAS 15032017
LYS000001 076 GR5 16032017
LYS000001 060 KAS 23052017
LYS000001 030 KAS 15062017
LYS000001 019 KAS 16052018
LYS000001 399 GR1 17052018
LYS000001 022 KAS 21032019
LYS000001 041 KAS 15042019
LYS000001 081 KAS 09032020
LYS000001 070 KAS 16042020
LYS000001 104 GR5 17032021
LYS000001 020 KAS 24032021
LYS000001 070 KAS 29042021
LYS000001 030 KAS 07062021
end
