SID,DATE,Level
075,01211980,11
075,03211980,9
075,05211980,12
075,07211980,20
075,10211980,29
075,12211980,25
075,01211981,11
075,03211981,9
075,05211981,12
075,07211981,20
075,10211981,29
075,12211981,25
075,01211982,11
075,03211982,9
075,05211982,12
075,07211982,20
075,10211982,29
075,12211982,25
075,01211983,11
075,03211983,9
075,05211983,12
075,07211983,20
075,10211983,29
075,12211983,25
075,01211984,11
075,03211984,9
075,05211984,12
075,07211984,20
075,10211984,29
075,12211984,25
075,01211985,11
075,03211985,9
075,05211985,12
075,07211985,20
075,10211985,29
075,12211985,25
075,01211986,11
075,03211986,9
075,05211986,12
075,07211986,20
075,10211986,29
075,12211986,25
075,01211987,11
075,03211987,9
075,05211987,12
075,07211987,20
075,10211987,29
075,12211987,25
075,01211988,11
075,03211988,9
075,05211988,12
075,07211988,20
075,10211988,29
075,12211988,25
075,01211989,11
075,03211989,9
075,05211989,12
075,07211989,20
075,10211989,29
075,12211989,25
075,01211990,11
075,03211990,9
075,05211990,12
075,07211990,20
075,10211990,29
075,12211990,25
075,01211991,11
075,03211991,9
075,05211991,12
075,07211991,20
075,10211991,29
075,12211991,25
075,01211992,11
075,03211992,9
075,05211992,12
075,07211992,20
075,10211992,29
075,12211992,25
075,01211993,11
075,03211993,9
075,05211993,12
075,07211993,20
075,10211993,29
075,12211993,25
075,01211994,11
075,03211994,9
075,05211994,12
075,07211994,20
075,10211994,29
075,12211994,25
075,01211995,11
075,03211995,9
075,05211995,12
075,07211995,20
075,10211995,29
075,12211995,25
075,01211996,11
075,03211996,9
075,05211996,12
075,07211996,20
075,10211996,29
075,12211996,25
075,01211997,11
075,03211997,9
075,05211997,12
075,07211997,20
075,10211997,29
075,12211997,25
075,01211998,11
075,03211998,9
075,05211998,12
075,07211998,20
075,10211998,29
075,12211998,25
075,01211999,11
075,03211999,9
075,05211999,12
075,07211999,20
075,10211999,29
075,12211999,25
075,01212000,11
075,03212000,9
075,05212000,12
075,07212000,20
075,10212000,29
075,12212000,25
075,01212001,11
075,03212001,9
075,05212001,12
075,07212001,20
075,10212001,29
075,12212001,25
075,01212002,11
075,03212002,9
075,05212002,12
075,07212002,20
075,10212002,29
075,12212002,25
075,01212003,11
075,03212003,9
075,05212003,12
075,07212003,20
075,10212003,29
075,12212003,25
075,01212004,11
075,03212004,9
075,05212004,12
075,07212004,20
075,10212004,29
075,12212004,25
075,01212005,11
075,03212005,9
075,05212005,12
075,07212005,20
075,10212005,29
075,12212005,25
075,01212006,11
075,03212006,9
075,05212006,12
075,07212006,20
075,10212006,29
075,12212006,25
075,01212007,11
075,03212007,9
075,05212007,12
075,07212007,20
075,10212007,29
075,12212007,25
075,01212007,11
075,03212007,9
075,05212007,12
075,07212007,20
075,10212007,29
075,12212007,25
075,01212008,11
075,03212008,9
075,05212008,12
075,07212008,20
075,10212008,29
075,12212008,25
075,01212009,11
075,03212009,9
075,05212009,12
075,07212009,20
075,10212009,29
075,12212009,25
075,01212010,11
075,03212010,9
075,05212010,12
075,07212010,20
075,10212010,29
075,12212010,25
075a,01211980,11
075a,03211980,9
075a,05211980,12
075a,07211980,20
075a,10211980,29
075a,12211980,25
075a,01211981,11
075a,03211981,9
075a,05211981,12
075a,07211981,20
075a,10211981,29
075a,12211981,25
075a,01211982,11
075a,03211982,9
075a,05211982,12
075a,07211982,20
075a,10211982,29
075a,12211982,25
075a,01211983,11
075a,03211983,9
075a,05211983,12
075a,07211983,20
075a,10211983,29
075a,12211983,25
075a,01211984,11
075a,03211984,9
075a,05211984,12
075a,07211984,20
075a,10211984,29
075a,12211984,25
075a,01211985,11
075a,03211985,9
075a,05211985,12
075a,07211985,20
075a,10211985,29
075a,12211985,25
075a,01211986,11
075a,03211986,9
075a,05211986,12
075a,07211986,20
075a,10211986,29
075a,12211986,25
075a,01211987,11
075a,03211987,9
075a,05211987,12
075a,07211987,20
075a,10211987,29
075a,12211987,25
075a,01211988,11
075a,03211988,9
075a,05211988,12
075a,07211988,20
075a,10211988,29
075a,12211988,25
075a,01211989,11
075a,03211989,9
075a,05211989,12
075a,07211989,20
075a,10211989,29
075a,12211989,25
075a,01211990,11
075a,03211990,9
075a,05211990,12
075a,07211990,20
075a,10211990,29
075a,12211990,25
075a,01211991,11
075a,03211991,9
075a,05211991,12
075a,07211991,20
075a,10211991,29
075a,12211991,25
075a,01211992,11
075a,03211992,9
075a,05211992,12
075a,07211992,20
075a,10211992,29
075a,12211992,25
075a,01211993,11
075a,03211993,9
075a,05211993,12
075a,07211993,20
075a,10211993,29
075a,12211993,25
075a,01211994,11
075a,03211994,9
075a,05211994,12
075a,07211994,20
075a,10211994,29
075a,12211994,25
075a,01211995,11
075a,03211995,9
075a,05211995,12
075a,07211995,20
075a,10211995,29
075a,12211995,25
